Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Coin,Scope,Date
Close_t-5,0.2151913797600767,0.2151913797600767,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-6,0.2037563439183638,0.2037563439183638,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-7,0.19759122314933,0.19759122314933,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
BTC_t-0,0.1839364402739307,0.1839364402739307,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
BTC_t-1,0.1819026096918066,0.1819026096918066,2022-02-20 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-20
Close_t-0,0.2657586655032489,0.2657586655032489,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-1,0.2627021669020816,0.2627021669020816,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-2,0.2542054591418692,0.2542054591418692,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-3,0.2440411876827673,0.2440411876827673,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-4,0.22856073217636,0.22856073217636,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-5,0.2169784414708638,0.2169784414708638,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-6,0.2066864851514758,0.2066864851514758,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-7,0.1948328136783422,0.1948328136783422,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
BTC_t-0,0.1850756591668226,0.1850756591668226,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
BTC_t-1,0.1812331575474176,0.1812331575474176,2022-02-21 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-21
Close_t-0,0.2622166562255732,0.2622166562255732,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-1,0.2620839728347334,0.2620839728347334,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-2,0.2551866449370079,0.2551866449370079,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-3,0.2442543166128289,0.2442543166128289,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-4,0.2298174682322805,0.2298174682322805,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-5,0.216644480145779,0.216644480145779,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-6,0.2064005479524595,0.2064005479524595,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-7,0.1972315123959864,0.1972315123959864,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
BTC_t-0,0.1842815017148125,0.1842815017148125,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
BTC_t-1,0.1790703002713066,0.1790703002713066,2022-02-22 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-22
Close_t-0,0.2634339758430074,0.2634339758430074,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-1,0.2618488402756846,0.2618488402756846,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-2,0.2544180412758468,0.2544180412758468,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
