Date,Ticker,Gtrend
2016-10-03,BTC-USD,28
2016-10-04,BTC-USD,28
2016-10-05,BTC-USD,28
2016-10-06,BTC-USD,29
2016-10-07,BTC-USD,30
2016-10-08,BTC-USD,26
2016-10-09,BTC-USD,27
2016-10-10,BTC-USD,28
2016-10-11,BTC-USD,33
2016-10-12,BTC-USD,32
2016-10-13,BTC-USD,30
2016-10-14,BTC-USD,32
2016-10-15,BTC-USD,28
2016-10-16,BTC-USD,31
2016-10-17,BTC-USD,30
2016-10-18,BTC-USD,29
2016-10-19,BTC-USD,30
2016-10-20,BTC-USD,28
2016-10-21,BTC-USD,27
2016-10-22,BTC-USD,29
2016-10-23,BTC-USD,31
2016-10-24,BTC-USD,31
2016-10-25,BTC-USD,30
2016-10-26,BTC-USD,32
2016-10-27,BTC-USD,34
2016-10-28,BTC-USD,39
2016-10-29,BTC-USD,43
2016-10-30,BTC-USD,36
2016-10-31,BTC-USD,35
2016-11-01,BTC-USD,39
2016-11-02,BTC-USD,37
2016-11-03,BTC-USD,38
2016-11-04,BTC-USD,36
2016-11-05,BTC-USD,36
2016-11-06,BTC-USD,34
2016-11-07,BTC-USD,33
2016-11-08,BTC-USD,34
2016-11-09,BTC-USD,49
2016-11-10,BTC-USD,34
2016-11-11,BTC-USD,34
2016-11-12,BTC-USD,33
2016-11-13,BTC-USD,34
2016-11-14,BTC-USD,35
2016-11-15,BTC-USD,37
2016-11-16,BTC-USD,38
2016-11-17,BTC-USD,39
2016-11-18,BTC-USD,40
2016-11-19,BTC-USD,36
2016-11-20,BTC-USD,35
2016-11-21,BTC-USD,36
2016-11-22,BTC-USD,37
2016-11-23,BTC-USD,39
2016-11-24,BTC-USD,39
2016-11-25,BTC-USD,35
2016-11-26,BTC-USD,33
2016-11-27,BTC-USD,35
2016-11-28,BTC-USD,37
2016-11-29,BTC-USD,38
2016-11-30,BTC-USD,34
2016-12-01,BTC-USD,39
2016-12-02,BTC-USD,41
2016-12-03,BTC-USD,37
2016-12-04,BTC-USD,34
2016-12-05,BTC-USD,40
2016-12-06,BTC-USD,36
2016-12-07,BTC-USD,38
2016-12-08,BTC-USD,40
2016-12-09,BTC-USD,38
2016-12-10,BTC-USD,35
2016-12-11,BTC-USD,35
2016-12-12,BTC-USD,37
2016-12-13,BTC-USD,39
2016-12-14,BTC-USD,38
2016-12-15,BTC-USD,35
2016-12-16,BTC-USD,36
