Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-8,3.1779712634684696,3.1779712634684696,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-9,2.876648515869662,2.876648515869662,2021-07-20,Deep Learning LSTM,LTC,1 day ahead,2021-07-20
Close_t-1,6.654268309807113,6.654268309807113,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-2,6.631917062850723,6.631917062850723,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-3,6.001105179559986,6.001105179559986,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-4,5.47519709080157,5.47519709080157,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-0,5.461896248475542,5.461896248475542,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-5,4.702698857580886,4.702698857580886,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-6,4.144911870460946,4.144911870460946,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-7,3.7030102269711938,3.7030102269711938,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-8,3.1614336230975284,3.1614336230975284,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-9,2.964391664998578,2.964391664998578,2021-07-21,Deep Learning LSTM,LTC,1 day ahead,2021-07-21
Close_t-2,6.790662460765715,6.790662460765715,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-1,6.640420058806522,6.640420058806522,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-3,6.27673097878584,6.27673097878584,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-0,5.6679496526870325,5.6679496526870325,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-4,5.552852723900719,5.552852723900719,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-5,4.8019291107346485,4.8019291107346485,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-6,4.114491655084426,4.114491655084426,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-7,3.7290968178581485,3.7290968178581485,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-8,3.082702107244117,3.082702107244117,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-9,2.8096228932920746,2.8096228932920746,2021-07-22,Deep Learning LSTM,LTC,1 day ahead,2021-07-22
Close_t-2,6.724416208445641,6.724416208445641,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
